Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Sep 21,Jun 06,Jul 12,Aug 31,Jun 23,Jul 25,Aug 09
2002, Cycle 1,Sep 23,May 18,Jul 01,Aug 25,Jun 08,Jul 15,Aug 01
2003, Cycle 1,Sep 27,May 12,Jun 28,Aug 30,Jun 05,Jul 14,Aug 02
2004, Cycle 1,Sep 22,May 04,Jun 21,Aug 31,May 30,Jul 04,Jul 26
2005, Cycle 1,Sep 15,Apr 29,Jun 23,Aug 23,May 29,Jul 10,Jul 28
2006, Cycle 1,Oct 17,May 10,Jul 03,Sep 11,Jun 09,Jul 20,Aug 12
2007, Cycle 1,Oct 04,Apr 23,Jun 28,Sep 09,May 31,Jul 14,Aug 03
2008, Cycle 1,Sep 21,May 04,Jun 21,Aug 30,May 27,Jul 10,Jul 30
2009, Cycle 1,Sep 24,Apr 26,Jun 22,Aug 30,May 25,Jul 10,Jul 30
2010, Cycle 1,Oct 01,Apr 18,Jun 19,Sep 04,May 19,Jul 10,Aug 01
2011, Cycle 1,Oct 04,May 09,Jun 25,Sep 08,May 30,Jul 13,Aug 04
2012, Cycle 1,Sep 11,Apr 17,Jun 19,Aug 18,May 27,Jul 04,Jul 24
2013, Cycle 1,Oct 13,May 17,Jul 05,Sep 10,Jun 09,Jul 25,Aug 14
2014, Cycle 1,Oct 04,Apr 24,Jun 21,Sep 06,May 22,Jul 10,Aug 01
2015, Cycle 1,Sep 26,Apr 29,Jun 20,Aug 31,May 26,Jul 07,Jul 28
2016, Cycle 1,Oct 10,Apr 28,Jun 26,Sep 06,May 28,Jul 13,Jul 31
2017, Cycle 1,Sep 05,Apr 23,Jun 16,Aug 16,May 22,Jul 04,Jul 23
2018, Cycle 1,Sep 29,May 10,Jun 28,Sep 05,Jun 04,Jul 17,Aug 07
2019, Cycle 1,Sep 24,May 11,Jun 29,Aug 30,Jun 02,Jul 17,Aug 05
2003, Cycle 2,Sep 10,May 31,Jul 10,Aug 23,Jun 21,Jul 22,Aug 04
2004, Cycle 2,Oct 14,Aug 01,Aug 16,Sep 27,Aug 06,Aug 24,Sep 06
2009, Cycle 2,Nov 07,Apr 19,Jun 25,Sep 15,Jun 03,Jul 08,Aug 05
2010, Cycle 2,Oct 15,May 07,Jun 20,Sep 06,May 29,Jul 05,Jul 25
2013, Cycle 2,Feb 23,Oct 28,Dec 15,Feb 08,Nov 18,Dec 31,Jan 16
2014, Cycle 2,Sep 20,May 02,Jun 23,Aug 29,May 29,Jul 16,Aug 04
